name,Serving Size (g),Calories from Fat (g),Calories,Total Fat (g),Saturated Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Trans Fat (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Caffeine (mg)
1-cup-milk,244,21,102,2.4,1.5,0.1,0.7,12,107,366,12,0,13,8.2,0,0,0,0,0
1-cup-oatmeal,234,32,166,3.6,0.7,1.3,1,0,9.4,164,28,4,0.6,5.9,0,0,0,0,0
1-cup-spinach,180,4.2,41,0.5,0.1,0.2,0,0,126,839,6.8,4.3,0.8,5.3,0,0,0,0,0
1-medium-banana,118,3.5,105,0.4,0.1,0.1,0,0,1.2,422,27,3.1,14,1.3,0,0,0,0,0
apple-cider,240,0,140,0,0,0,0,0,0,120,35,0,31,1,0,0,0,0,0
apple,182,2.8,95,0.3,0.1,0.1,0,0,1.8,195,25,4.4,19,0.5,0,0,0,0,0
arbys-3-chicken-tenders,131,150,360,17,2.5,0,0,45,950,0,28,2,0,23,0,0,0,0,0
arbys-curly-fries,201,310,650,35,5,0,0,0,1480,0,77,7,0,8,0,0,0,0,0
arbys-smokehouse-brisket copy,203,310,600,35,12,0,0,100,1240,0,42,2,7,33,1,0,0,0,0
avocado,201,265,322,29,4.3,3.7,20,0,14,975,17,13,1.3,4,0,0,0,0,0
bacon-costco,19,70,90,8,3,0,0,15,170,0,0,0,0,4,0,0,0,0,0
black-coffee,237,0,2.4,0.1,0,0,0,0,4.7,116,0,0,0,0.3,0,0,5,0,94.8
boiled-egg,50,48,78,5.3,1.6,0.7,2,187,62,63,0.6,0,0.6,6.3,0,0,0,0,0
caseine-protein,33,0,120,0.5,0,0,0,15,260,0,3,1,1,24,0,0,0,0,0
cheddar-cheese,28,85,115,9.4,5.3,0.4,2.6,28,185,22,0.9,0,0.1,6.5,0.3,0,0,0,0
chicken-milanese,171,127,437,14,2.6,6.4,3.9,166,794,348,39,2.1,1.9,36,0.2,0,0,0,0
chicken-soup,510,34,168,3.7,0.6,0.7,0.8,15,1168,678,24,4.6,5.2,10,0,0,0,0,0
chochinita-pibil,259,190,364,21,7.7,2.1,9.2,94,696,597,16,1.9,8.6,27,0,0,0,0,0
chocolate-bar-icecream,56,1,170,1,8,0,0,5,45,0,18,1,14,1,0,0,0,0,0
costco-croissant,67,127,272,14,7.8,0.7,3.7,45,313,79,31,1.7,7.5,5.5,0,0,0,0,0
doritos,28,72,140,8,1,0,0,0,210,0,16,1,0,2,0,0,0,0,0
fanta-orange,496,0,238,0,0,0,0,0,60,9.9,61,0,0,0,0,0,0,0,0
fried-egg,46,61,90,6.8,2,1.5,2.8,184,95,70,0.4,0,0.2,6.3,0,0,0,0,0
fried-tortilla-sabulte,49,31,159,3.5,0.9,0.5,1.8,0,234,64,27,1.6,0,4.3,0,0,0,0,0
ground-beef,113,177,308,20,7.4,0.6,8.7,101,103,431,0,0,0,31,0.8,0,0,0,0
hot-link-sausage-costco,57,140,180,16,6,0,0,35,520,0,1,0,1,7,0,0,0,0,0
powered-peanut-butter,16,0,70,2,0,0,0,0,125,0,0,3,3,8,0,0,0,0,0
refried-beans,238,43,214,4.8,1.5,1.3,1.4,0,881,759,32,8.8,1.3,12,0,0,0,0,0
sandwich-icecream,62,0,160,3,2,0,0,5,150,0,30,1,15,2,0,0,0,0,0
tomato,123,2.2,22,0.3,0,0.1,0,0,6.2,292,4.8,1.5,3.2,1.1,0,0,0,0,0
white-rice,158,4,205,0.4,0.1,0.1,0.1,0,1.6,55,45,0.6,0.1,4.3,0,0,0,0,0
